P,k,seed,l,Omega_L1,Omega_AC,Omega_true,chi_AC,n_groups,max_group_size,restart_gain
5,1,5,0,2.0,2.0,2.0,1.0,1,1,1.0
5,1,5,1,2.0,2.0,2.0,1.0,1,1,1.0
5,1,5,2,2.0,2.0,2.0,1.0,1,1,1.0
5,1,5,3,2.0,2.0,2.0,1.0,1,1,1.0
5,1,5,4,2.0,2.0,2.0,1.0,1,1,1.0
6,1,0,0,2.0,2.0,2.0,1.0,1,1,1.0
6,1,0,1,2.0,2.0,2.0,1.0,1,1,1.0
6,1,0,2,2.0,2.0,2.0,1.0,1,1,1.0
6,1,0,3,2.0,2.0,2.0,1.0,1,1,1.0
6,1,0,4,2.0,2.0,2.0,1.0,1,1,1.0
6,1,0,5,2.0,2.0,2.0,1.0,1,1,1.0
6,1,1,0,2.0,2.0,2.0,1.0,1,1,1.0
6,1,1,1,2.0,2.0,2.0,1.0,1,1,1.0
6,1,1,2,2.0,2.0,2.0,1.0,1,1,1.0
6,1,1,3,2.0,2.0,2.0,1.0,1,1,1.0
6,1,1,4,2.0,2.0,2.0,1.0,1,1,1.0
6,1,1,5,2.0,2.0,2.0,1.0,1,1,1.0
6,1,2,0,2.0,2.0,2.0,1.0,1,1,1.0
6,1,2,1,2.0,2.0,2.0,1.0,1,1,1.0
6,1,2,2,2.0,2.0,2.0,1.0,1,1,1.0
6,1,2,3,2.0,2.0,2.0,1.0,1,1,1.0
6,1,2,4,2.0,2.0,2.0,1.0,1,1,1.0
6,1,2,5,2.0,2.0,2.0,1.0,1,1,1.0
6,1,3,0,2.0,2.0,2.0,1.0,1,1,1.0
6,1,3,1,2.0,2.0,2.0,1.0,1,1,1.0
6,1,3,2,2.0,2.0,2.0,1.0,1,1,1.0
6,1,3,3,2.0,2.0,2.0,1.0,1,1,1.0
6,1,3,4,2.0,2.0,2.0,1.0,1,1,1.0
6,1,3,5,2.0,2.0,2.0,1.0,1,1,1.0
6,1,4,0,2.0,2.0,2.0,1.0,1,1,1.0
6,1,4,1,2.0,2.0,2.0,1.0,1,1,1.0
6,1,4,2,2.0,2.0,2.0,1.0,1,1,1.0
6,1,4,3,2.0,2.0,2.0,1.0,1,1,1.0
6,1,4,4,2.0,2.0,2.0,1.0,1,1,1.0
6,1,4,5,2.0,2.0,2.0,1.0,1,1,1.0
6,1,5,0,2.0,2.0,2.0,1.0,1,1,1.0
6,1,5,1,2.0,2.0,2.0,1.0,1,1,1.0
6,1,5,2,2.0,2.0,2.0,1.0,1,1,1.0
6,1,5,3,2.0,2.0,2.0,1.0,1,1,1.0
6,1,5,4,2.0,2.0,2.0,1.0,1,1,1.0
6,1,5,5,2.0,2.0,2.0,1.0,1,1,1.0
7,1,0,0,2.0,2.0,2.0,1.0,1,1,1.0
7,1,0,1,2.0,2.0,2.0,1.0,1,1,1.0
7,1,0,2,2.0,2.0,2.0,1.0,1,1,1.0
7,1,0,3,2.0,2.0,2.0,1.0,1,1,1.0
7,1,0,4,2.0,2.0,2.0,1.0,1,1,1.0
7,1,0,5,2.0,2.0,2.0,1.0,1,1,1.0
7,1,0,6,2.0,2.0,2.0,1.0,1,1,1.0
7,1,1,0,2.0,2.0,2.0,1.0,1,1,1.0
7,1,1,1,2.0,2.0,2.0,1.0,1,1,1.0
7,1,1,2,2.0,2.0,2.0,1.0,1,1,1.0
7,1,1,3,2.0,2.0,2.0,1.0,1,1,1.0
7,1,1,4,2.0,2.0,2.0,1.0,1,1,1.0
7,1,1,5,2.0,2.0,2.0,1.0,1,1,1.0
7,1,1,6,2.0,2.0,2.0,1.0,1,1,1.0
7,1,2,0,2.0,2.0,2.0,1.0,1,1,1.0
7,1,2,1,2.0,2.0,2.0,1.0,1,1,1.0
7,1,2,2,2.0,2.0,2.0,1.0,1,1,1.0
7,1,2,3,2.0,2.0,2.0,1.0,1,1,1.0
7,1,2,4,2.0,2.0,2.0,1.0,1,1,1.0
7,1,2,5,2.0,2.0,2.0,1.0,1,1,1.0
7,1,2,6,2.0,2.0,2.0,1.0,1,1,1.0
7,1,3,0,2.0,2.0,2.0,1.0,1,1,1.0
7,1,3,1,2.0,2.0,2.0,1.0,1,1,1.0
7,1,3,2,2.0,2.0,2.0,1.0,1,1,1.0
7,1,3,3,2.0,2.0,2.0,1.0,1,1,1.0
7,1,3,4,2.0,2.0,2.0,1.0,1,1,1.0
7,1,3,5,2.0,2.0,2.0,1.0,1,1,1.0
7,1,3,6,2.0,2.0,2.0,1.0,1,1,1.0
7,1,4,0,2.0,2.0,2.0,1.0,1,1,1.0
7,1,4,1,2.0,2.0,2.0,1.0,1,1,1.0
7,1,4,2,2.0,2.0,2.0,1.0,1,1,1.0
7,1,4,3,2.0,2.0,2.0,1.0,1,1,1.0
7,1,4,4,2.0,2.0,2.0,1.0,1,1,1.0
7,1,4,5,2.0,2.0,2.0,1.0,1,1,1.0
7,1,4,6,2.0,2.0,2.0,1.0,1,1,1.0
7,1,5,0,2.0,2.0,2.0,1.0,1,1,1.0
7,1,5,1,2.0,2.0,2.0,1.0,1,1,1.0
7,1,5,2,2.0,2.0,2.0,1.0,1,1,1.0
7,1,5,3,2.0,2.0,2.0,1.0,1,1,1.0
7,1,5,4,2.0,2.0,2.0,1.0,1,1,1.0
7,1,5,5,2.0,2.0,2.0,1.0,1,1,1.0
7,1,5,6,2.0,2.0,2.0,1.0,1,1,1.0
8,1,0,0,2.0,2.0,2.0,1.0,1,1,1.0
8,1,0,1,2.0,2.0,2.0,1.0,1,1,1.0
8,1,0,2,2.0,2.0,2.0,1.0,1,1,1.0
8,1,0,3,2.0,2.0,2.0,1.0,1,1,1.0
8,1,0,4,2.0,2.0,2.0,1.0,1,1,1.0
8,1,0,5,2.0,2.0,2.0,1.0,1,1,1.0
8,1,0,6,2.0,2.0,2.0,1.0,1,1,1.0
8,1,0,7,2.0,2.0,2.0,1.0,1,1,1.0
8,1,1,0,2.0,2.0,2.0,1.0,1,1,1.0
8,1,1,1,2.0,2.0,2.0,1.0,1,1,1.0
8,1,1,2,2.0,2.0,2.0,1.0,1,1,1.0
8,1,1,3,2.0,2.0,2.0,1.0,1,1,1.0
8,1,1,4,2.0,2.0,2.0,1.0,1,1,1.0
8,1,1,5,2.0,2.0,2.0,1.0,1,1,1.0
8,1,1,6,2.0,2.0,2.0,1.0,1,1,1.0
8,1,1,7,2.0,2.0,2.0,1.0,1,1,1.0
8,1,2,0,2.0,2.0,2.0,1.0,1,1,1.0
8,1,2,1,2.0,2.0,2.0,1.0,1,1,1.0
8,1,2,2,2.0,2.0,2.0,1.0,1,1,1.0
8,1,2,3,2.0,2.0,2.0,1.0,1,1,1.0
8,1,2,4,2.0,2.0,2.0,1.0,1,1,1.0
8,1,2,5,2.0,2.0,2.0,1.0,1,1,1.0
8,1,2,6,2.0,2.0,2.0,1.0,1,1,1.0
8,1,2,7,2.0,2.0,2.0,1.0,1,1,1.0
